household_id,count,mean,median,max
1,9597,0.4393722390458957,0.27975,12.505
2,9547,0.4697264096123759,0.2113947858472998,5.103723484848485
4,9335,0.3661218372765697,0.3218166023166023,3.4893307692307696
5,9713,0.7592351987008158,0.5810912621359223,8.36662188099808
6,9487,0.4704032403076247,0.40621319796954314,2.9602397003745318
7,9621,0.532743132284901,0.23094444444444445,4.405638733705773
8,9657,0.6651777974600138,0.42566792452830193,6.108151802656546
9,9287,0.5837940401573198,0.2546524701873935,5.818901041666667
10,9569,0.7091551209450841,0.4346567164179104,5.077776937618148
12,9658,0.37351963400756705,0.22711688030685506,4.537845528455285
13,8789,0.5648044995164593,0.3406003344481605,4.460671081677704
15,9402,0.25734227936032705,0.18689804012905964,4.037548034934498
16,8863,0.5686085426539073,0.43632089552238806,6.011770519262982
17,9695,0.41298671668665693,0.24735333333333331,4.629529801324503
18,9602,0.44907317948138115,0.3606573557515147,4.960542471042471
19,9684,0.29333409123965076,0.22011953149001534,2.0001863117870724
20,9722,0.3768501869450564,0.2869536356932153,2.425551260504202
